timestamp,total_water_quantity_ticks,total_water_products_ticks,total_water_rinse_ticks,total_water_cleaning_ticks,rfu,total_coffee_bean_quantity_g,total_coffee_beans_left_rear_g,total_coffee_beans_right_front_g,total_coffee_powder_chute_g,cleaning_counter,brewcycles_left,brewcycles_right,cycles_rinse_clean_left,cycles_rinse_clean_right,time_milk_cs,heating_time_boiler_left_cs,heating_time_boiler_right_cs,time_hot_water_cs,time_steam_left_cs,time_steam_right_cs,heat_time_steam_boiler_1_cs,heat_time_steam_boiler_2_cs,time_air_pump_cs,milk_cycles_left,milk_cycles_right,reset_date_day,reset_date_month,reset_date_year,rfu2,reset_time_second,reset_time_minute,reset_time_hour,rfu3,time_milk_steam_left_cs,time_milk_steam_right_cs,total_coffee_beans_grinder_adjustment_g,absolute_counter,time_powder_cs,total_powder_quantity_left_g,total_powder_quantity_right_g,total_coffee_beans_3_g,total_coffee_beans_4_g
1782836200,489104,171293,115213,201378,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836204,489104,171293,115213,201378,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836235,489145,171293,115213,201419,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836239,489145,171293,115213,201419,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836270,489186,171293,115213,201460,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836274,489186,171293,115213,201460,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836304,489226,171293,115213,201500,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836355,489226,171293,115213,201500,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836357,489226,171293,115213,201500,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
1782836361,489226,171293,115213,201500,0,22030,9004,11032,0,76,1552,0,398,0,89643,0,0,104,0,0,0,0,69172,588,0,12,6,25,0,23,36,15,0,155744,0,331,2061,0,0,0,1663,0
